empresa,fecha,precio,es_imputado_kalman,rendimiento_simple,rendimiento_log,retorno_depende_imputacion,precio_original
Banco Davivienda PF,2020-02-13,39484.8359375,False,0.015151572974465788,0.015037934324460414,False,46900.0
Banco de Bogota,2020-02-13,54316.8125,False,0.005488458011643882,0.0054734513100316165,False,81772.640625
Celsia,2020-02-13,2855.064208984375,False,0.004504331937456252,0.00449421779461957,False,4460.0
ETB,2020-02-13,252.0,False,0.0,0.0,False,252.0
Ecopetrol,2020-02-13,1511.46826171875,False,-0.004444480179461308,-0.0044543862439291124,False,3360.0
Grupo Bolivar,2020-02-13,62525.984375,False,-0.010975219283801185,-0.011035891337436033,False,81100.0
Mineros SA,2020-02-13,3004.375244140625,False,0.0,0.0,False,3185.0
Nutresa,2020-02-13,20311.2890625,False,0.0,0.0,False,23231.794921875
Promigas,2020-02-13,4646.40966796875,False,0.0,0.0,False,7800.0
Banco Davivienda PF,2020-02-14,38743.96484375,False,-0.018763433509581096,-0.018941700180077497,False,46020.0
Banco de Bogota,2020-02-14,55403.90234375,False,0.020013874042222213,0.01981622920585196,False,83409.2109375
Celsia,2020-02-14,2874.2685546875,False,0.006726414643387857,0.0067038932521469715,False,4490.0
ETB,2020-02-14,252.0,False,0.0,0.0,False,252.0
Ecopetrol,2020-02-14,1495.7236328125,False,-0.010416777715428926,-0.0104714120849983,False,3325.0
Grupo Bolivar,2020-02-14,62834.35546875,False,0.004931887067951557,0.004919765152533832,False,81500.0
